kanji,onyomi,kunyomi,meaning
衡%@,kouコウ%@,%@,"equilibrium, measuring rod, scale%@"
呆%@,houホウ%@,"bo(keru), aki(reru), orokaぼ(ける)、 あき(れる)、 おろか%@","be amazed, disgusted, shocked%@"
薫%@,kunクン%@,kao(ru)かお(る)%@,"send forth fragrance, fragrant, be scented, smoke (tobacco)%@"
瓦%@,gaガ%@,"kawara, guramuかわら、 ぐらむ%@","tile, gram%@"
猟%@,ryouリョウ%@,"kari, ka(ru)かり、 か(る)%@","game-hunting, shooting, game, bag%@"
羊%@,youヨウ%@,hitsujiひつじ%@,sheep%@
窪%@,"wa, aワ、 ア%@",kubo(mu)くぼ(む)%@,"depression, cave in, sink, become hollow%@"
款%@,kanカン%@,%@,"goodwill, article, section, friendship, collusion%@"
閲%@,etsuエツ%@,kemi(suru)けみ(する)%@,"review, inspection, revision%@"
雀%@,"jaku, jan, saku, shakuジャク、 ジャン、 サク、 シャク%@",suzumeすずめ%@,sparrow%@
偵%@,teiテイ%@,%@,spy%@
喝%@,katsuカツ%@,%@,"hoarse, scold%@"
敢%@,kanカン%@,a(ete)あ(えて)%@,"daring, brave, bold, sad, tragic, pitiful%@"
畠%@,%@,"hatake, hataはたけ、 はた%@","field, farm, garden, (kokuji)%@"
胎%@,taiタイ%@,%@,"womb, uterus%@"
酵%@,kouコウ%@,%@,fermentation%@
憤%@,funフン%@,ikidoo(ru)いきどお(る)%@,"aroused, resent, be indignant, anger%@"
豚%@,tonトン%@,butaぶた%@,"pork, pig%@"
遮%@,shaシャ%@,saegi(ru)さえぎ(る)%@,"intercept, interrupt, obstruct%@"
扉%@,hiヒ%@,tobiraとびら%@,"front door, title page, front page%@"
硫%@,ryuuリュウ%@,%@,sulphur%@
赦%@,shaシャ%@,yuru(su)ゆる(す)%@,"pardon, forgiveness%@"
挫%@,"za, saザ、 サ%@",kuji(ku)くじ(く)%@,"crush, break, sprain, discourage%@"
窃%@,setsuセツ%@,"nusu(mu), hiso(ka)ぬす(む)、 ひそ(か)%@","stealth, steal, secret, private, hushed%@"
泡%@,houホウ%@,awaあわ%@,"bubbles, foam, suds, froth%@"
瑞%@,"zui, suiズイ、 スイ%@","mizu-, shirushiみず-、 しるし%@",congratulations%@
又%@,yuuユウ%@,"mata, mata-, mata(no-)また、 また-、 また(の-)%@","or again, furthermore, on the other hand%@"
慨%@,gaiガイ%@,nage(ku)なげ(く)%@,"rue, be sad, sigh, lament%@"
紡%@,bouボウ%@,tsumu(gu)つむ(ぐ)%@,spinning%@
恨%@,konコン%@,"ura(mu), ura(meshii)うら(む)、 うら(めしい)%@","regret, bear a grudge, resentment, malice, hatred%@"
肪%@,bouボウ%@,%@,"obese, fat%@"
扶%@,fuフ%@,tasu(keru)たす(ける)%@,"aid, help, assist%@"
戯%@,"gi, geギ、 ゲ%@","tawamu(reru), za(reru), ja(reru)たわむ(れる)、 ざ(れる)、 じゃ(れる)%@","frolic, play, sport%@"
伍%@,goゴ%@,itsutsuいつつ%@,"five, five-man squad, file, line%@"
忌%@,kiキ%@,"i(mu), i(mi), i(mawashii)い(む)、 い(み)、 い(まわしい)%@","mourning, abhor, detestable, death anniversary%@"
濁%@,"daku, jokuダク、 ジョク%@",nigo(ru)にご(る)%@,"voiced, uncleanness, wrong, nigori, impurity%@"
奔%@,honホン%@,hashi(ru)はし(る)%@,"run, bustle%@"
斗%@,"to, touト、 トウ%@",%@,"Big Dipper, ten sho (vol), sake dipper, dots and cross radical (no. 68)%@"
蘭%@,"ran, raラン、 ラ%@",%@,"orchid, Holland%@"
蒲%@,"ho, bo, fu, buホ、 ボ、 フ、 ブ%@","gama, kaba, kamaがま、 かば、 かま%@","bullrush, flag, cattail%@"
迅%@,jinジン%@,%@,"swift, fast%@"
肖%@,shouショウ%@,ayaka(ru)あやか(る)%@,resemblance%@
鉢%@,"hachi, hatsuハチ、 ハツ%@",%@,"bowl, rice tub, pot, crown%@"
朽%@,kyuuキュウ%@,ku(chiru)く(ちる)%@,"decay, rot, remain in seclusion%@"
殻%@,"kaku, koku, baiカク、 コク、 バイ%@","kara, garaから、 がら%@","husk, nut shell%@"
享%@,"kyou, kouキョウ、 コウ%@",u(keru)う(ける)%@,"enjoy, receive, undergo, answer (phone), take, get, catch%@"
秦%@,shinシン%@,hataはた%@,"Manchu dynasty, name given to naturalized foreigners%@"
茅%@,"bou, myouボウ、 ミョウ%@","kaya, chigayaかや、 ちがや%@",miscanthus reed%@
藩%@,hanハン%@,%@,"clan, enclosure%@"
沙%@,"sa, shaサ、 シャ%@","suna, yonageruすな、 よなげる%@",sand%@
輔%@,"ho, fuホ、 フ%@",tasu(keru)たす(ける)%@,help%@
媒%@,baiバイ%@,nakoudoなこうど%@,"mediator, go-between%@"
鶏%@,keiケイ%@,"niwatori, toriにわとり、 とり%@",chicken%@
禅%@,"zen, senゼン、 セン%@","shizuka, yuzu(ru)しずか、 ゆず(る)%@","Zen, silent meditation%@"
嘱%@,shokuショク%@,"shoku(suru), tano(mu)しょく(する)、 たの(む)%@","entrust, request, send a message%@"
胴%@,douドウ%@,%@,"trunk, torso, hull (ship), hub of wheel%@"
粕%@,hakuハク%@,kasuかす%@,"scrap, waste%@"
冨%@,"fu, fuuフ、 フウ%@","to(mu), tomiと(む)、 とみ%@","enrich, wealthy, abundant%@"
迭%@,tetsuテツ%@,%@,"transfer, alternation%@"
挿%@,souソウ%@,"sa(su), hasa(mu)さ(す)、 はさ(む)%@","insert, put in, graft, wear (sword)%@"
湘%@,shouショウ%@,%@,"name of Chinese river, the Sagami river%@"
嵐%@,ranラン%@,arashiあらし%@,"storm, tempest%@"
椎%@,"tsui, suiツイ、 スイ%@","tsuchi, u(tsu)つち、 う(つ)%@","chinquapin, mallet, spine%@"
灘%@,"tan, danタン、 ダン%@","nada, seなだ、 せ%@",open sea%@
堰%@,enエン%@,"seki, se(ku)せき、 せ(く)%@","dam, prevent, stop up%@"
獅%@,shiシ%@,shishiしし%@,lion%@
姜%@,"kyou, gaキョウ、 ガ%@",kouこう%@,"Chinese surname, ginger%@"
絹%@,kenケン%@,kinuきぬ%@,silk%@
陪%@,baiバイ%@,%@,"obeisance, follow, accompany, attend on%@"
剖%@,bouボウ%@,%@,divide%@
譜%@,fuフ%@,%@,"musical score, music, note, staff, table, genealogy%@"
郁%@,ikuイク%@,%@,"cultural progress, perfume%@"
悠%@,yuuユウ%@,%@,"permanence, distant, long time, leisure%@"
淑%@,shukuシュク%@,shito(yaka)しと(やか)%@,"graceful, gentle, pure%@"
帆%@,hanハン%@,hoほ%@,sail%@
暁%@,"gyou, kyouギョウ、 キョウ%@","akatsuki, sato(ru)あかつき、 さと(る)%@","daybreak, dawn, in the event%@"
鷲%@,"shuu, juシュウ、 ジュ%@",washiわし%@,eagle%@
傑%@,ketsuケツ%@,sugu(reru)すぐ(れる)%@,"greatness, excellence%@"
楠%@,"nan, dan, zen, nenナン、 ダン、 ゼン、 ネン%@","kusu, kusunokiくす、 くすのき%@",camphor tree%@
笛%@,tekiテキ%@,fueふえ%@,"flute, clarinet, pipe, whistle, bagpipe, piccolo%@"
芥%@,"kai, keカイ、 ケ%@","karashi, gomi, akutaからし、 ごみ、 あくた%@","mustard, rape, dust, trash, rubbish%@"
其%@,"ki, gi, goキ、 ギ、 ゴ%@","sore, sonoそれ、 その%@",that%@
玲%@,reiレイ%@,%@,sound of jewels%@
奴%@,doド%@,"yatsu, yakkoやつ、 やっこ%@","guy, slave, manservant, fellow%@"
錠%@,jouジョウ%@,%@,"lock, fetters, shackles%@"
拳%@,"ken, genケン、 ゲン%@",kobushiこぶし%@,fist%@
翔%@,shouショウ%@,"kake(ru), to(bu)かけ(る)、 と(ぶ)%@","soar, fly%@"
遷%@,senセン%@,"utsu(ru), miyakogaeうつ(る)、 みやこがえ%@","transition, move, change%@"
拙%@,setsuセツ%@,tsutana(i)つたな(い)%@,"bungling, clumsy, unskillful%@"
侍%@,"ji, shiジ、 シ%@","samu(rai), habe(ru)さむらい、 はべ(る)%@","waiter, samurai, wait upon, serve%@"
尺%@,"shaku, sekiシャク、 セキ%@",sashiさし%@,"shaku, Japanese foot, measure, scale, rule%@"
峠%@,%@,tougeとうげ%@,"mountain peak, mountain pass, climax, crest, (kokuji)%@"
篤%@,tokuトク%@,atsu(i)あつ(い)%@,"fervent, kind, cordial, serious, deliberate%@"
肇%@,"chou, jou, touチョウ、 ジョウ、 トウ%@","haji(meru), hajimeはじ(める)、 はじめ%@",beginning%@
渇%@,katsuカツ%@,kawa(ku)かわ(く)%@,"thirst, dry up, parch%@"
榎%@,kaカ%@,enokiえのき%@,"lotus tree, nettle tree, hackberry%@"
劉%@,"ryuu, ruリュウ、 ル%@",koro(su)ころ(す)%@,"weapon of war, logging axe, kill en masse, peeling (paint off a wall, etc), sparse, faded%@"
幡%@,"man, han, ban, honマン、 ハン、 バン、 ホン%@",hataはた%@,flag%@
諏%@,"shu, suシュ、 ス%@","sou, haka(ru)そう、 はか(る)%@",consult%@
叔%@,shukuシュク%@,%@,"uncle, youth%@"
雌%@,shiシ%@,"me-, mesu, menめ-、 めす、 めん%@","feminine, female%@"
亨%@,"kou, kyou, houコウ、 キョウ、 ホウ%@",too(ru)とお(る)%@,"pass through, go smoothly%@"
堪%@,"kan, tanカン、 タン%@","ta(eru), tama(ru), kora(eru), kota(eru)た(える)、 たま(る)、 こら(える)、 こた(える)%@","withstand, endure, support, resist%@"
叙%@,joジョ%@,"tsui(zu), tsuideつい(ず)、 ついで%@","confer, relate, narrate, describe%@"
酢%@,sakuサク%@,suす%@,"vinegar, sour, acid, tart%@"
吟%@,ginギン%@,%@,"versify, singing, recital%@"
逓%@,teiテイ%@,"kawa(ru), tagainiかわ(る)、 たがいに%@","relay, in turn, sending%@"
痕%@,konコン%@,atoあと%@,"mark, foot print%@"
嶺%@,"rei, ryouレイ、 リョウ%@",mineみね%@,"peak, summit%@"
袖%@,shuuシュウ%@,sodeそで%@,"sleeve, wing (building), extension, give cold shoulder%@"
甚%@,jinジン%@,"hanaha(da), hanaha(dashii)はなは(だ)、 はなは(だしい)%@","tremendously, very, great, exceedingly%@"
喬%@,kyouキョウ%@,taka(i)たか(い)%@,"high, boasting%@"
崔%@,"gai, sai, suiガイ、 サイ、 スイ%@",gakeがけ%@,"cliff, bluff, precipice%@"
妖%@,youヨウ%@,"aya(shii), nama(meku), wazawa(i)あや(しい)、 なま(めく)、 わざわ(い)%@","attractive, bewitching, calamity%@"
琵%@,"bi, hiビ、 ヒ%@",%@,"glissando on strings, lute%@"
琶%@,"ha, be, waハ、 ベ、 ワ%@",%@,lute%@
聯%@,renレン%@,"tsura(naru), tsura(neru)つら(なる)、 つら(ねる)%@","party, gang, clique%@"
蘇%@,"so, suソ、 ス%@",yomigae(ru)よみがえ(る)%@,"be resuscitated, revived, perilla, shiso%@"
闇%@,"an, onアン、 オン%@","yami, kura(i)やみ、 くら(い)%@","get dark, gloom, disorder%@"
崇%@,suuスウ%@,aga(meru)あが(める)%@,"adore, respect, revere, worship%@"
漆%@,shitsuシツ%@,urushiうるし%@,"lacquer, varnish, seven%@"
岬%@,kouコウ%@,misakiみさき%@,"headland, cape, spit, promontory%@"
癖%@,hekiヘキ%@,"kuse, kuse(ni)くせ、 くせ(に)%@","mannerism, habit, vice, trait, fault, kink%@"
愉%@,yuユ%@,"tano(shii), tano(shimu)たの(しい)、 たの(しむ)%@","pleasure, happy, rejoice%@"
寅%@,inイン%@,toraとら%@,"sign of the tiger, 3-5AM, third sign of Chinese zodiac%@"
捉%@,"soku, sakuソク、 サク%@",tora(eru)とら(える)%@,"catch, capture%@"
礁%@,shouショウ%@,%@,"reef, sunken rock%@"
乃%@,"nai, dai, no, aiナイ、 ダイ、 ノ、 アイ%@","no, sunawa(chi), nanjiの、 すなわ(ち)、 なんじ%@","from, possessive particle, whereupon, accordingly%@"
洲%@,"shuu, suシュウ、 ス%@",shimaしま%@,"continent, sandbar, island, country%@"
屯%@,tonトン%@,tamuroたむろ%@,"barracks, police station, camp, ton%@"
樽%@,sonソン%@,taruたる%@,"barrel, cask, keg%@"
樺%@,kaカ%@,"kaba, kanbaかば、 かんば%@","birch, dark red%@"
槙%@,"ten, shinテン、 シン%@","maki, kozueまき、 こずえ%@","twig, ornamental evergreen%@"
薩%@,"satsu, sachiサツ、 サチ%@",%@,"salvation, Buddha%@"
姻%@,inイン%@,%@,"matrimony, marry%@"
巌%@,ganガン%@,"iwa, iwao, kewa(shii)いわ、 いわお、 けわ(しい)%@","rock, crag, boulder%@"
淀%@,"ten, denテン、 デン%@",yodo(mu)よど(む)%@,"pool, eddy%@"
麹%@,kikuキク%@,koujiこうじ%@,"malt, yeast%@"
賭%@,toト%@,"ka(keru), kakeか(ける)、 かけ%@","gamble, wager, bet%@"
擬%@,giギ%@,"maga(i), modo(ki)まが(い)、 もど(き)%@","mimic, aim (a gun) at, nominate, imitate%@"
塀%@,"hei, beiヘイ、 ベイ%@",%@,"fence, wall, (kokuji)%@"
唇%@,shinシン%@,kuchibiruくちびる%@,lips%@
睦%@,"boku, mokuボク、 モク%@","mutsu(majii), mutsu(mu), mutsu(bu)むつ(まじい)、 むつ(む)、 むつ(ぶ)%@","intimate, friendly, harmonious%@"
閑%@,kanカン%@,%@,leisure%@
胡%@,"u, ko, goウ、 コ、 ゴ%@",nanzoなんぞ%@,"barbarian, foreign%@"
幽%@,yuuユウ%@,"fuka(i), kasu(ka), kura(i), shiro(i)ふか(い)、 かす(か)、 くら(い)、 しろ(い)%@","seclude, confine to a room, deep, profound, secluded, faint, dark, tranquil, calm%@"
峻%@,shunシュン%@,"kewa(shii), taka(i)けわ(しい)、 たか(い)%@","high, steep%@"
曹%@,"sou, zouソウ、 ゾウ%@",%@,"office, official, comrade, fellow%@"
哨%@,shouショウ%@,mihariみはり%@,"scout, sentinel%@"
詠%@,eiエイ%@,"yo(mu), uta(u)よ(む)、 うた(う)%@","recitation, poem, song, composing%@"
炒%@,"sou, shouソウ、 ショウ%@","i(ru), ita(meru)い(る)、 いた(める)%@","broil, parch, roast, fry%@"
屏%@,"hei, byouヘイ、 ビョウ%@","oo(u), shirizo(ku), byou(bu)おお(う)、 しりぞ(く)、 びょう(ぶ)%@","wall, fence%@"
卑%@,hiヒ%@,iya(shii)いや(しい)%@,"lowly, base, vile, vulgar, despise%@"
侮%@,buブ%@,anado(ru)あなど(る)%@,"scorn, despise, make light of, contempt%@"
鋳%@,"chuu, i, shu, shuuチュウ、 イ、 シュ、 シュウ%@",i(ru)い(る)%@,"casting, mint%@"
抹%@,matsuマツ%@,%@,"rub, paint, erase%@"
尉%@,"i, jouイ、 ジョウ%@",%@,"military officer, jailer, old man, rank%@"
槻%@,kiキ%@,tsukiつき%@,Zelkova tree%@
隷%@,reiレイ%@,"shitaga(u), shimobeしたが(う)、 しもべ%@","slave, servant, prisoner, criminal, follower%@"
禍%@,kaカ%@,kazawaiわざわい%@,"calamity, misfortune, evil, curse%@"
蝶%@,chouチョウ%@,%@,butterfly%@
酪%@,rakuラク%@,%@,"dairy products, whey, broth, fruit juice%@"
茎%@,"kei, kyouケイ、 キョウ%@",kukiくき%@,"stalk, stem%@"
汎%@,"han, bu, fuu, hou, honハン、 ブ、 フウ、 ホウ、 ホン%@","tadayo(u), hiro(i)ただよ(う)、 ひろ(い)%@",pan-%@
頃%@,"kei, kyouケイ、 キョウ%@","koro, goro, shibara(ku)ころ、 ごろ、 しばら(く)%@","time, about, toward%@"
帥%@,suiスイ%@,%@,"commander, leading troops, governor%@"
梁%@,ryouリョウ%@,"hari, utsubari, uchibari, yana, hashiはり、 うつばり、 うちばり、 やな、 はし%@","weir, fish trap, beam, girder%@"
逝%@,seiセイ%@,"yu(ku), i(ku)ゆ(く)、 い(く)%@","departed, die%@"
汽%@,kiキ%@,%@,"vapor, steam%@"
謎%@,"mei, beiメイ、 ベイ%@",nazoなぞ%@,"riddle, puzzle, enigma, hint, tip%@"
琢%@,takuタク%@,miga(ku)みが(く)%@,polish%@
箕%@,kiキ%@,miみ%@,winnowing%@
匿%@,tokuトク%@,kakuma(u)かくま(う)%@,"hide, shelter, shield%@"
爪%@,souソウ%@,"tsume, tsuma-つめ、 つま-%@","claw, nail, talon%@"
芭%@,"ba, haバ、 ハ%@",%@,banana%@
逗%@,"tou, zuトウ、 ズ%@",todo(maru)とど(まる)%@,stop%@
苫%@,senセン%@,tomaとま%@,rush matting%@
鍵%@,kenケン%@,kagiかぎ%@,key%@
襟%@,kinキン%@,eriえり%@,"collar, neck, lapel, one's inner feelings%@"
蛍%@,keiケイ%@,hotaruほたる%@,"lightning-bug, firefly%@"
楢%@,"shuu, yuuシュウ、 ユウ%@",naraなら%@,oak%@
蕉%@,shouショウ%@,%@,"banana, plantain%@"
兜%@,"tou, toトウ、 ト%@",kabutoかぶと%@,"helmet, head piece%@"
寡%@,kaカ%@,%@,"widow, minority, few%@"
琉%@,"ryuu, ruリュウ、 ル%@",%@,"precious stone, gem, lapis lazuli%@"
痢%@,riリ%@,%@,diarrhea%@
庸%@,youヨウ%@,%@,"commonplace, ordinary, employment%@"
朋%@,houホウ%@,tomoとも%@,"companion, friend%@"
坑%@,kouコウ%@,%@,"pit, hole%@"
姑%@,koコ%@,"shuutome, shuuto, oba, shibarakuしゅうとめ、 しゅうと、 おば、 しばらく%@",mother-in-law%@
烏%@,"u, oウ、 オ%@","karasu, izukunzo, nanzoからす、 いずくんぞ、 なんぞ%@","crow, raven%@"
藍%@,ranラン%@,aiあい%@,indigo%@
僑%@,kyouキョウ%@,%@,"expatriate, person living abroad, temporary home%@"
賊%@,zokuゾク%@,%@,"burglar, rebel, traitor, robber%@"
搾%@,sakuサク%@,shibo(ru)しぼ(る)%@,squeeze%@
奄%@,enエン%@,"oo(u), tachimachiおお(う)、 たちまち%@","cover, suffocate, obstruct%@"
臼%@,"kyuu, guキュウ、 グ%@","usu, usudzu(ku)うす、 うすづ(く)%@",mortar%@
畔%@,hanハン%@,"aze, kuro, hotoriあぜ、 くろ、 ほとり%@","paddy ridge, levee%@"
遼%@,ryouリョウ%@,%@,distant%@
唄%@,baiバイ%@,"uta, uta(u)うた、 うた(う)%@","song, ballad%@"
孔%@,"kou, kuコウ、 ク%@",anaあな%@,"cavity, hole, slit, very, great, exceedingly%@"
橘%@,kitsuキツ%@,tachibanaたちばな%@,mandarin orange%@
漱%@,"sou, shuu, suソウ、 シュウ、 ス%@","kuchisusu(gu), kuchisoso(gu), ugai, susu(gu)くちすす(ぐ)、 くちそそ(ぐ)、 うがい、 すす(ぐ)%@","gargle, rinse mouth%@"
呂%@,"ro, ryoロ、 リョ%@",seboneせぼね%@,"spine, backbone%@"
桧%@,kaiカイ%@,"hinoki, hiひのき、 ひ%@",Japanese cypress%@
拷%@,gouゴウ%@,%@,"torture, beat%@"
宋%@,souソウ%@,%@,"dwell, Sung dynasty%@"
嬢%@,jouジョウ%@,musumeむすめ%@,"lass, girl, Miss, daughter%@"
苑%@,"en, onエン、 オン%@","sono, u(tsu)その、 う(つ)%@","garden, farm, park%@"
巽%@,sonソン%@,tatsumiたつみ%@,southeast%@
杜%@,"to, tou, zuト、 トウ、 ズ%@","mori, fusa(gu), yamanashiもり、 ふさ(ぐ)、 やまなし%@","woods, grove%@"
渓%@,keiケイ%@,"tani, tanigawaたに、 たにがわ%@","mountain stream, valley%@"
翁%@,ouオウ%@,okinaおきな%@,venerable old man%@
藝%@,"gei, unゲイ、 ウン%@","u(eru), nori, wazaう(える)、 のり、 わざ%@","art, craft, performance, acting, trick, stunt%@"
廉%@,renレン%@,%@,"bargain, reason, charge, suspicion, point, account, purity%@"
牙%@,"ga, geガ、 ゲ%@","kiba, haきば、 は%@","tusk, fang, tusk radical (no. 92)%@"
謹%@,kinキン%@,tsutsushi(mu)つつし(む)%@,"discreet, reverently, humbly%@"
瞳%@,"dou, touドウ、 トウ%@",hitomiひとみ%@,pupil (of eye)%@
湧%@,"yuu, you, yuユウ、 ヨウ、 ユ%@",wa(ku)わ(く)%@,"boil, ferment, seethe, uproar, breed%@"
欣%@,"kin, gon, konキン、 ゴン、 コン%@",yoroko(bu)よろこ(ぶ)%@,"take pleasure in, rejoice%@"
窯%@,youヨウ%@,kamaかま%@,"kiln, oven, furnace%@"
褒%@,houホウ%@,ho(meru)ほ(める)%@,"praise, extol%@"
醜%@,shuuシュウ%@,"miniku(i), shikoみにく(い)、 しこ%@","ugly, unclean, shame, bad looking%@"
魏%@,giギ%@,taka(i)たか(い)%@,"high, large, Kingdom of Wei%@"
篇%@,henヘン%@,%@,"volume, chapter, book, editing, compilation%@"
升%@,shouショウ%@,masuます%@,"measuring box, 1.8 liter%@"
此%@,shiシ%@,"kore, kono, kokoこれ、 この、 ここ%@","this, current, next, coming, last, past%@"
峯%@,houホウ%@,"mine, neみね、 ね%@","peak, summit%@"
殉%@,junジュン%@,%@,"martyrdom, follow by resigning%@"
煩%@,"han, bonハン、 ボン%@","wazura(u), urusa(garu)わずら(う)、 うるさ(がる)%@","anxiety, trouble, worry, pain, ill, annoy, nuisance, irksome%@"
巴%@,haハ%@,"tomoe, uzumakiともえ、 うずまき%@",comma-design%@
禎%@,teiテイ%@,saiwa(i)さいわ(い)%@,"happiness, blessed, good fortune, auspicious%@"
枕%@,"chin, shinチン、 シン%@",makuraまくら%@,pillow%@
劾%@,gaiガイ%@,%@,"censure, criminal investigation%@"
菩%@,boボ%@,%@,"kind of grass, sacred tree%@"
堕%@,daダ%@,"o(chiru), kuzu(su)お(ちる)、 くず(す)%@","degenerate, descend to, lapse into%@"
丼%@,"ton, tan, shou, seiトン、 タン、 ショウ、 セイ%@",donburiどんぶり%@,"bowl, bowl of food%@"
租%@,soソ%@,%@,"tariff, crop tax, borrowing%@"
檜%@,kaiカイ%@,"hinoki, hiひのき、 ひ%@",Japanese cypress%@
稜%@,"ryou, rouリョウ、 ロウ%@","itsu, kadoいつ、 かど%@","angle, edge, corner, power, majesty%@"
牟%@,"bou, muボウ、 ム%@",%@,"pupil (eye), moo (cow sound)%@"
桟%@,"san, senサン、 セン%@",kakehashiかけはし%@,"scaffold, cleat, frame, jetty, bolt (door)%@"
榊%@,%@,sakakiさかき%@,"sacred Shinto tree, (kokuji)%@"
錫%@,"seki, shakuセキ、 シャク%@","suzu, tama(u)すず、 たま(う)%@","copper, tin%@"
荏%@,"jin, ninジン、 ニン%@",%@,"bean, perilla, herb, soft, pliable%@"
惧%@,"ku, guク、 グ%@",oso(reru)おそ(れる)%@,"fear, be afraid of, dread%@"
倭%@,"wa, iワ、 イ%@","yamato, shitaga(u)やまと、 したが(う)%@","Yamato, ancient Japan%@"
婿%@,seiセイ%@,mukoむこ%@,"bridegroom, son-in-law%@"
慕%@,boボ%@,shita(u)した(う)%@,"pining, yearn for, love dearly, adore%@"
廟%@,"byou, myouビョウ、 ミョウ%@","tamaya, mitamaya, yashiroたまや、 みたまや、 やしろ%@","mausoleum, shrine, palace%@"
銚%@,"chou, youチョウ、 ヨウ%@",nabeなべ%@,sake bottle%@
斐%@,"hi, iヒ、 イ%@",%@,"beautiful, patterned%@"
罷%@,hiヒ%@,"maka(ri-), ya(meru)まか(り-)、 や(める)%@","quit, stop, leave, withdraw, go%@"
矯%@,kyouキョウ%@,ta(meru)た(める)%@,"rectify, straighten, correct, reform, cure, control, pretend, falsify%@"
某%@,bouボウ%@,"soregashi, nanigashiそれがし、 なにがし%@","so-and-so, one, a certain, that person%@"
囚%@,shuuシュウ%@,tora(wareru)とら(われる)%@,"captured, criminal, arrest, catch%@"
魁%@,kaiカイ%@,"sakigake, kashiraさきがけ、 かしら%@",charging ahead of others%@
薮%@,souソウ%@,yabuやぶ%@,"thicket, bush, underbrush, grove%@"
虹%@,kouコウ%@,nijiにじ%@,rainbow%@
鴻%@,"kou, gouコウ、 ゴウ%@","ootori, hishikui, oogariおおとり、 ひしくい、 おおがり%@","large bird, wild goose, large, great, powerful, prosperous%@"
泌%@,"hitsu, hiヒツ、 ヒ%@",%@,"ooze, flow, soak in, penetrate, secrete%@"
於%@,"o, yoオ、 ヨ%@","oi(te), o(keru), aa, yoriおい(て)、 お(ける)、 ああ、 より%@","at, in, on, as for%@"
赳%@,kyuuキュウ%@,%@,strong and brave%@
漸%@,zenゼン%@,"youya(ku), yaya, youyo(u), susu(mu)ようや(く)、 やや、 ようよ(う)、 すす(む)%@","steadily, gradually advancing, finally, barely%@"
逢%@,houホウ%@,"a(u), muka(eru)あ(う)、 むか(える)%@","meeting, tryst, date, rendezvous%@"
凧%@,%@,"ikanobori, takoいかのぼり、 たこ%@","kite, (kokuji)%@"
鵜%@,"tei, daiテイ、 ダイ%@",uう%@,cormorant%@
庵%@,anアン%@,"iori, ioいおり、 いお%@","hermitage, retreat%@"
膳%@,"zen, senゼン、 セン%@","kashiwa, susu(meru), sona(eru)かしわ、 すす(める)、 そな(える)%@","small low table, tray%@"
蚊%@,bunブン%@,kaか%@,mosquito%@
葵%@,kiキ%@,aoiあおい%@,hollyhock%@
厄%@,yakuヤク%@,%@,"unlucky, misfortune, bad luck, disaster%@"
藻%@,souソウ%@,moも%@,"seaweed, duckweed%@"
萬%@,"man, banマン、 バン%@",yorozuよろず%@,"ten thousand, 10,000%@"
禄%@,rokuロク%@,"saiwa(i), fuchiさいわ(い)、 ふち%@","fief, allowance, pension, grant, happiness%@"
孟%@,"mou, bou, myouモウ、 ボウ、 ミョウ%@",kashiraかしら%@,"chief, beginning%@"
鴈%@,ganガン%@,"kari, kariganeかり、 かりがね%@",wild goose%@
狼%@,rouロウ%@,ookamiおおかみ%@,wolf%@
嫡%@,"chaku, tekiチャク、 テキ%@",%@,"legitimate wife, direct descent (non-bastard)%@"
呪%@,"ju, shu, shuu, zuジュ、 シュ、 シュウ、 ズ%@","majina(u), noro(i)まじな(う)、 のろ(い)%@","spell, curse, charm, malediction%@"
斬%@,"zan, san, sen, zenザン、 サン、 セン、 ゼン%@",ki(ru)き(る)%@,"beheading, kill, murder%@"
尖%@,senセン%@,"toga(ru), saki, surudo(i)とが(る)、 さき、 するど(い)%@","be pointed, sharp, taper, displeased, angry, edgy%@"
翫%@,ganガン%@,moteaso(bu)もてあそ(ぶ)%@,"take pleasure in, play instrument%@"
嶽%@,gakuガク%@,takeたけ%@,peak%@
尭%@,gyouギョウ%@,taka(i)たか(い)%@,"high, far%@"
怨%@,"en, on, unエン、 オン、 ウン%@",ura(mu)うら(む)%@,"grudge, show resentment, be jealous%@"
卿%@,"kei, kyouケイ、 キョウ%@",kimiきみ%@,"you, lord, secretary, state minister%@"
串%@,"kan, ken, senカン、 ケン、 セン%@","kushi, tsuranu(ku)くし、 つらぬ(く)%@","spit, skewer%@"
已%@,iイ%@,"ya(mu), sude(ni), nomi, hanahadaや(む)、 すで(に)、 のみ、 はなはだ%@","stop, halt, previously, already, long ago%@"
嚇%@,kakuカク%@,odo(su)おど(す)%@,"menacing, dignity, majesty, threaten%@"
巳%@,shiシ%@,miみ%@,"sign of the snake or serpent, 9-11AM, sixth sign of Chinese zodiac%@"
凸%@,totsuトツ%@,dekoでこ%@,"convex, beetle brow, uneven%@"
暢%@,chouチョウ%@,nobi(ru)のび(る)%@,stretch%@
腫%@,"shu, shouシュ、 ショウ%@","ha(reru), ha(re), ha(rasu), haremonoは(れる)、 は(れ)、 は(らす)、 はれもの%@","tumor, swelling%@"
粟%@,"zoku, shoku, sokuゾク、 ショク、 ソク%@","awa, momiあわ、 もみ%@",millet%@
燕%@,enエン%@,"tsubame, tsubakura, tsubakuroつばめ、 つばくら、 つばくろ%@",swallow (bird)%@
韻%@,inイン%@,%@,"rhyme, elegance, tone%@"
